DLTR	41.77	42.10	41.02	41.20	1312400	41.20	1190617260000
DAVE	14.48	14.65	14.46	14.50	40200	14.50	1160377260000
DEAR	1.92	1.93	1.92	1.93	900	1.93	1245308460000
DEPO	7.44	7.88	6.88	7.44	197500	7.44	885542460000
DMAN	7.10	7.10	6.93	6.96	47400	6.96	1240556460000
DANKY	0.59	0.60	0.55	0.55	146700	0.55	1001660460000
DSWL	10.96	11.44	10.60	10.60	30600	2.49	913104060000
DNBK	12.19	12.50	12.19	12.31	132300	12.26	1236582060000
DAIO	2.56	2.75	2.50	2.50	81900	2.50	904633260000
DGAS	23.00	23.70	23.00	23.70	1000	23.12	1247036460000
DBLE	12.00	12.20	11.63	12.20	42100	12.20	1063004460000
DNDN	6.32	6.80	6.30	6.78	1200000	6.78	1130223660000
DPTR	27.45	27.75	26.70	26.92	897800	26.92	1213858860000
DGICB	7.75	8.25	7.75	8.25	900	1.60	639730860000
DEAR	23.00	23.00	22.75	22.75	200	17.83	1080201660000
DNBF	21.00	21.00	21.00	21.00	100	17.22	1162540860000
DANKY	2.25	2.42	2.24	2.42	417200	2.42	1015488060000
DYNT	1.99	2.00	1.83	1.85	50300	1.85	1090393260000
DIOD	23.09	23.70	22.77	23.20	252300	10.31	1081839660000
DLIA	8.80	8.89	8.68	8.82	296500	8.82	1176706860000
DFZ	6.25	6.25	6.25	6.25	1000	5.96	1156402860000
DXPE	1.38	1.38	1.38	1.38	8000	0.69	969951660000
DANKY	26.88	28.86	26.88	27.93	1943400	27.55	838364460000
DENN	0.89	0.90	0.89	0.90	11200	0.90	1018508460000
DEIX	8.99	9.03	8.97	9.00	98700	9.00	1182150060000
DGAS	23.86	23.86	22.68	23.03	3300	22.47	1245135660000
DXYN	4.31	4.43	4.31	4.37	12700	4.30	829551660000
DATA	3.02	3.09	2.90	2.98	10000	2.98	1193209260000
DGICA	21.70	21.80	20.97	21.08	26700	10.39	1087974060000
DJCO	39.00	46.00	36.00	39.90	600	39.90	1222671660000
DAIO	3.00	3.25	3.00	3.25	9800	3.25	744361260000
DLPX	2.75	2.75	2.75	2.75	23000	2.75	733651260000
DUSA	5.94	6.25	5.87	6.00	35800	6.00	865234860000
DGICB	12.13	12.50	11.75	12.25	9500	5.10	923641260000
DCGN	2.85	3.10	2.81	2.85	181400	2.85	1060153260000
DGICA	18.96	19.60	18.95	19.00	46600	17.34	1147417260000
DRRX	2.36	2.45	2.34	2.43	544500	2.43	1061362860000
DCOM	11.79	11.85	11.55	11.74	120900	11.61	1263542460000
DSPG	25.81	25.81	25.30	25.35	151600	25.35	1082012460000
DGAS	23.79	25.02	23.79	24.81	4000	22.14	1188543660000
DTV	22.50	22.65	22.38	22.55	9400300	22.55	1164700860000
DRAM	3.62	3.63	3.61	3.61	5300	3.09	1060239660000
DGII	23.12	23.38	22.63	23.38	465400	23.38	822902460000
DBRN	9.00	9.00	8.50	9.00	173600	2.25	693475260000
DGAS	17.87	17.87	17.50	17.50	1100	10.91	969260460000
DMLP	14.91	14.91	14.67	14.70	26600	7.81	1046419260000
DPTR	1.36	1.37	1.28	1.36	7398200	1.36	1261555260000
DXPE	12.45	13.05	12.40	12.77	114400	12.77	1240902060000
DHFT	15.99	16.31	15.99	16.15	14200	5.27	919238460000
DSPG	9.25	9.75	9.25	9.38	158000	4.15	823852860000
DHFT	9.43	9.71	9.43	9.62	13700	2.74	838710060000
DXYN	12.51	13.12	12.51	12.97	47200	12.97	1183705260000
DHFT	13.04	13.04	12.66	13.04	10200	1.85	743065260000
DTPI	4.21	4.56	4.04	4.19	153700	3.70	1223276460000
DORM	7.25	7.75	7.00	7.75	30600	3.87	766998060000
DRCO	15.76	16.05	15.76	15.96	5400	15.96	1058425260000
DYII	3.21	3.21	3.21	3.21	200	3.21	1141632060000
DRCO	9.74	9.74	9.15	9.22	7100	9.22	1218783660000
DLTR	26.68	27.69	26.53	27.20	2447400	27.20	1138953660000
DRIV	43.44	44.00	38.75	39.06	322000	39.06	914918460000
DATA	4.25	4.25	4.25	4.25	6000	2.83	899967660000
DNEX	48.94	50.90	47.96	48.51	146100	48.51	1228982460000
DEAR	25.65	25.80	25.56	25.64	2600	23.26	1125385260000
DUSA	6.13	6.38	6.00	6.25	78400	6.25	859190460000
DIET	1.48	1.48	1.40	1.45	18800	1.45	1044345660000
DSPG	24.90	25.13	24.50	24.56	368900	24.56	1147676460000
DWSN	4.12	4.12	3.88	4.00	8400	4.00	690796860000
DWSN	29.61	29.95	28.27	28.52	114300	28.52	1153119660000
DNEX	45.50	45.50	44.75	44.75	22600	22.37	859968060000
DNDN	21.21	22.39	20.83	21.38	9733400	21.38	1241420460000
DEAR	27.45	27.45	27.45	27.45	1700	24.90	1118127660000
DLLR	21.52	23.13	21.33	22.93	377200	22.93	1209625260000
DFZ	19.25	19.75	19.25	19.75	33300	8.48	770022060000
DTSI	19.54	19.78	19.22	19.59	63400	19.59	1152601260000
DWA	40.77	42.25	40.21	40.45	2461400	40.45	1099641660000
DBLE	5.03	5.15	4.79	5.14	29200	5.14	1256626860000
DELL	50.69	51.25	49.00	51.06	23757000	51.06	957164460000
DUSA	4.12	4.12	3.88	3.91	17300	3.91	772268460000
DTSI	33.27	33.87	32.77	33.19	273900	33.19	1219042860000
DGICB	7.00	7.00	7.00	7.00	1500	3.07	958978860000
DCOM	23.51	23.55	23.35	23.47	54300	11.95	1050908460000
DGII	5.37	5.48	5.17	5.20	180700	5.20	1021014060000
DLTR	32.39	33.81	32.35	32.97	2339400	32.97	1075190460000
DRAM	9.69	9.81	9.62	9.62	30300	2.75	865407660000
DFZ	3.44	3.62	3.44	3.50	6800	3.34	958028460000
DELL	25.87	26.12	24.62	24.62	89721600	0.38	759139260000
DATA	4.94	5.15	4.93	5.09	13500	5.09	1172649660000
