volume/9223370771271175807	DNDN	1371400	1265583600000				
adj   /9223370771271175807	DNDN	28.89	1265583600000				
open  /9223370780778775807	DDDC	0.40	1256076000000				
high  /9223370780778775807	DDDC	0.41	1256076000000				
low   /9223370780778775807	DDDC	0.38	1256076000000				
close /9223370780778775807	DDDC	0.40	1256076000000				
volume/9223370780778775807	DDDC	32100	1256076000000				
adj   /9223370780778775807	DDDC	0.40	1256076000000				
open  /9223370950813975807	DWSN	14.99	1086040800000				
high  /9223370950813975807	DWSN	15.65	1086040800000				
low   /9223370950813975807	DWSN	14.75	1086040800000				
close /9223370950813975807	DWSN	15.45	1086040800000				
volume/9223370950813975807	DWSN	117500	1086040800000				
adj   /9223370950813975807	DWSN	15.45	1086040800000				
open  /9223370802547975807	DDRX	0.45	1234306800000				
high  /9223370802547975807	DDRX	0.45	1234306800000				
low   /9223370802547975807	DDRX	0.30	1234306800000				
close /9223370802547975807	DDRX	0.35	1234306800000				
volume/9223370802547975807	DDRX	42000	1234306800000				
adj   /9223370802547975807	DDRX	0.35	1234306800000				
open  /9223371057168775807	DISH	33.19	979686000000				
high  /9223371057168775807	DISH	34.75	979686000000				
low   /9223371057168775807	DISH	32.52	979686000000				
close /9223371057168775807	DISH	32.94	979686000000				
volume/9223371057168775807	DISH	4127200	979686000000				
adj   /9223371057168775807	DISH	28.77	979686000000				
open  /9223371161370775807	DUSA	7.56	875484000000				
high  /9223371161370775807	DUSA	8.38	875484000000				
low   /9223371161370775807	DUSA	7.44	875484000000				
close /9223371161370775807	DUSA	8.25	875484000000				
volume/9223371161370775807	DUSA	178100	875484000000				
adj   /9223371161370775807	DUSA	8.25	875484000000				
open  /9223371231181975807	DARA	8.25	805672800000				
high  /9223371231181975807	DARA	8.25	805672800000				
low   /9223371231181975807	DARA	7.63	805672800000				
close /9223371231181975807	DARA	7.87	805672800000				
volume/9223371231181975807	DARA	700	805672800000				
adj   /9223371231181975807	DARA	3150.00	805672800000				
open  /9223371286906375807	DBRN	15.12	749948400000				
high  /9223371286906375807	DBRN	15.38	749948400000				
low   /9223371286906375807	DBRN	15.00	749948400000				
close /9223371286906375807	DBRN	15.00	749948400000				
volume/9223371286906375807	DBRN	358400	749948400000				
adj   /9223371286906375807	DBRN	3.75	749948400000				
open  /9223371360609175807	DORM	7.63	676245600000				
high  /9223371360609175807	DORM	7.88	676245600000				
low   /9223371360609175807	DORM	7.25	676245600000				
close /9223371360609175807	DORM	7.88	676245600000				
volume/9223371360609175807	DORM	24400	676245600000				
adj   /9223371360609175807	DORM	3.94	676245600000				
open  /9223370997898375807	DNDN	4.01	1038956400000				
high  /9223370997898375807	DNDN	4.15	1038956400000				
low   /9223370997898375807	DNDN	3.90	1038956400000				
close /9223370997898375807	DNDN	4.00	1038956400000				
volume/9223370997898375807	DNDN	103900	1038956400000				
adj   /9223370997898375807	DNDN	4.00	1038956400000				
open  /9223371257793175807	DINE	11.33	779061600000				
high  /9223371257793175807	DINE	11.82	779061600000				
low   /9223371257793175807	DINE	11.33	779061600000				
close /9223371257793175807	DINE	11.70	779061600000				
volume/9223371257793175807	DINE	200	779061600000				
adj   /9223371257793175807	DINE	293.51	779061600000				
open  /9223371234897175807	DGII	20.75	801957600000				
high  /9223371234897175807	DGII	20.75	801957600000				
low   /9223371234897175807	DGII	20.50	801957600000				
close /9223371234897175807	DGII	20.75	801957600000				
volume/9223371234897175807	DGII	58800	801957600000				
adj   /9223371234897175807	DGII	20.75	801957600000				
open  /9223370774813575807	DMAN	8.43	1262041200000				
high  /9223370774813575807	DMAN	8.50	1262041200000				
low   /9223370774813575807	DMAN	8.30	1262041200000				
close /9223370774813575807	DMAN	8.48	1262041200000				
volume/9223370774813575807	DMAN	52200	1262041200000				
adj   /9223370774813575807	DMAN	8.48	1262041200000				
open  /9223370832615175807	DXCM	7.52	1204239600000				
high  /9223370832615175807	DXCM	7.68	1204239600000				
low   /9223370832615175807	DXCM	7.26	1204239600000				
close /9223370832615175807	DXCM	7.37	1204239600000				
volume/9223370832615175807	DXCM	133900	1204239600000				
adj   /9223370832615175807	DXCM	7.37	1204239600000				
open  /9223370992282375807	DBRN	13.01	1044572400000				
high  /9223370992282375807	DBRN	13.22	1044572400000				
low   /9223370992282375807	DBRN	12.97	1044572400000				
close /9223370992282375807	DBRN	13.00	1044572400000				
volume/9223370992282375807	DBRN	138600	1044572400000				
adj   /9223370992282375807	DBRN	6.50	1044572400000				
open  /9223370987620375807	DDMX	4.87	1049234400000				
high  /9223370987620375807	DDMX	5.15	1049234400000				
low   /9223370987620375807	DDMX	4.87	1049234400000				
close /9223370987620375807	DDMX	5.10	1049234400000				
volume/9223370987620375807	DDMX	39000	1049234400000				
adj   /9223370987620375807	DDMX	5.10	1049234400000				
open  /9223371133981975807	DHIL	10.50	902872800000				
high  /9223371133981975807	DHIL	10.63	902872800000				
low   /9223371133981975807	DHIL	10.00	902872800000				
close /9223371133981975807	DHIL	10.63	902872800000				
volume/9223371133981975807	DHIL	6800	902872800000				
adj   /9223371133981975807	DHIL	45.77	902872800000				
open  /9223370979844375807	DELL	31.71	1057010400000				
high  /9223370979844375807	DELL	32.01	1057010400000				
low   /9223370979844375807	DELL	31.16	1057010400000				
close /9223370979844375807	DELL	31.92	1057010400000				
volume/9223370979844375807	DELL	18678500	1057010400000				
adj   /9223370979844375807	DELL	31.92	1057010400000				
open  /9223371031680775807	DENN	0.67	1005174000000				
high  /9223371031680775807	DENN	0.68	1005174000000				
low   /9223371031680775807	DENN	0.67	1005174000000				
close /9223371031680775807	DENN	0.67	1005174000000				
volume/9223371031680775807	DENN	13600	1005174000000				
adj   /9223371031680775807	DENN	0.67	1005174000000				
open  /9223370970599575807	DMLP	17.75	1066255200000				
high  /9223370970599575807	DMLP	17.75	1066255200000				
low   /9223370970599575807	DMLP	17.75	1066255200000				
close /9223370970599575807	DMLP	17.75	1066255200000				
volume/9223370970599575807	DMLP	2300	1066255200000				
adj   /9223370970599575807	DMLP	9.82	1066255200000				
open  /9223371203361175807	DYNT	0.84	833493600000				
high  /9223371203361175807	DYNT	0.88	833493600000				
low   /9223371203361175807	DYNT	0.84	833493600000				
close /9223371203361175807	DYNT	0.84	833493600000				
volume/9223371203361175807	DYNT	38500	833493600000				
adj   /9223371203361175807	DYNT	0.84	833493600000				
open  /9223370878842775807	DTLK	9.03	1158012000000				
high  /9223370878842775807	DTLK	9.50	1158012000000				
low   /9223370878842775807	DTLK	9.00	1158012000000				
close /9223370878842775807	DTLK	9.18	1158012000000				
volume/9223370878842775807	DTLK	665000	1158012000000				
adj   /9223370878842775807	DTLK	9.18	1158012000000				
open  /9223371455217175807	DRCO	7.67	581637600000				
high  /9223371455217175807	DRCO	7.92	581637600000				
low   /9223371455217175807	DRCO	7.67	581637600000				
close /9223371455217175807	DRCO	7.92	581637600000				
volume/9223371455217175807	DRCO	16300	581637600000				
adj   /9223371455217175807	DRCO	6.53	581637600000				
open  /9223370992368775807	DSPG	16.04	1044486000000				
high  /9223370992368775807	DSPG	16.23	1044486000000				
low   /9223370992368775807	DSPG	15.86	1044486000000				
close /9223370992368775807	DSPG	15.93	1044486000000				
volume/9223370992368775807	DSPG	184000	1044486000000				
adj   /9223370992368775807	DSPG	15.93	1044486000000				
open  /9223371066157975807	DNBF	16.12	970696800000				
high  /9223371066157975807	DNBF	16.12	970696800000				
low   /9223371066157975807	DNBF	16.12	970696800000				
close /9223371066157975807	DNBF	16.12	970696800000				
volume/9223371066157975807	DNBF	000	970696800000				
adj   /9223371066157975807	DNBF	9.13	970696800000				
open  /9223371317837575807	DRAM	5.88	719017200000				
high  /9223371317837575807	DRAM	6.13	719017200000				
low   /9223371317837575807	DRAM	5.88	719017200000				
close /9223371317837575807	DRAM	6.13	719017200000				
volume/9223371317837575807	DRAM	76800	719017200000				
adj   /9223371317837575807	DRAM	1.75	719017200000				
open  /9223371265309975807	DECK	14.25	771544800000				
high  /9223371265309975807	DECK	14.25	771544800000				
low   /9223371265309975807	DECK	13.00	771544800000				
close /9223371265309975807	DECK	14.00	771544800000				
volume/9223371265309975807	DECK	5100	771544800000				
adj   /9223371265309975807	DECK	14.00	771544800000				
open  /9223371328727575807	DGAS	15.63	708127200000				
high  /9223371328727575807	DGAS	15.63	708127200000				
low   /9223371328727575807	DGAS	15.13	708127200000				
close /9223371328727575807	DGAS	15.13	708127200000				
volume/9223371328727575807	DGAS	2300	708127200000				
adj   /9223371328727575807	DGAS	5.54	708127200000				
open  /9223371206989975807	DECK	6.25	829864800000				
high  /9223371206989975807	DECK	6.75	829864800000				
low   /9223371206989975807	DECK	6.25	829864800000				
close /9223371206989975807	DECK	6.50	829864800000				
volume/9223371206989975807	DECK	9600	829864800000				
adj   /9223371206989975807	DECK	6.50	829864800000				
open  /9223371094752775807	DASTY	40.00	942102000000				
high  /9223371094752775807	DASTY	40.00	942102000000				
low   /9223371094752775807	DASTY	39.62	942102000000				
close /9223371094752775807	DASTY	39.81	942102000000				
volume/9223371094752775807	DASTY	13600	942102000000				
adj   /9223371094752775807	DASTY	36.33	942102000000				
open  /9223370793306775807	DGIT	19.71	1243548000000				
high  /9223370793306775807	DGIT	20.43	1243548000000				
low   /9223370793306775807	DGIT	19.50	1243548000000				
close /9223370793306775807	DGIT	19.78	1243548000000				
volume/9223370793306775807	DGIT	501000	1243548000000				
adj   /9223370793306775807	DGIT	19.78	1243548000000				
open  /9223370935603975807	DEAR	28.41	1101250800000				
high  /9223370935603975807	DEAR	30.00	1101250800000				
low   /9223370935603975807	DEAR	28.40	1101250800000				
close /9223370935603975807	DEAR	29.81	1101250800000				
volume/9223370935603975807	DEAR	22500	1101250800000				
adj   /9223370935603975807	DEAR	24.52	1101250800000				
open  /9223371052848775807	DGAS	18.81	984006000000				
high  /9223371052848775807	DGAS	18.94	984006000000				
low   /9223371052848775807	DGAS	18.81	984006000000				
close /9223371052848775807	DGAS	18.81	984006000000				
volume/9223371052848775807	DGAS	3100	984006000000				
adj   /9223371052848775807	DGAS	12.09	984006000000				
open  /9223371142362775807	DENN	9.00	894492000000				
high  /9223371142362775807	DENN	9.00	894492000000				
low   /9223371142362775807	DENN	8.75	894492000000				
close /9223371142362775807	DENN	9.00	894492000000				
volume/9223371142362775807	DENN	61600	894492000000				
adj   /9223371142362775807	DENN	9.00	894492000000				
open  /9223370945284375807	DMLP	19.41	1091570400000				
high  /9223370945284375807	DMLP	19.75	1091570400000				
low   /9223370945284375807	DMLP	19.35	1091570400000				
close /9223370945284375807	DMLP	19.49	1091570400000				
volume/9223370945284375807	DMLP	11300	1091570400000				
adj   /9223370945284375807	DMLP	11.78	1091570400000				
open  /9223370960573575807	DGICB	18.96	1076281200000				
high  /9223370960573575807	DGICB	19.25	1076281200000				
low   /9223370960573575807	DGICB	18.96	1076281200000				
close /9223370960573575807	DGICB	19.01	1076281200000				
volume/9223370960573575807	DGICB	3100	1076281200000				
adj   /9223370960573575807	DGICB	9.49	1076281200000				
open  /9223370849207575807	DDRX	3.75	1187647200000				
high  /9223370849207575807	DDRX	3.89	1187647200000				
low   /9223370849207575807	DDRX	3.70	1187647200000				
close /9223370849207575807	DDRX	3.81	1187647200000				
volume/9223370849207575807	DDRX	2800	1187647200000				
adj   /9223370849207575807	DDRX	3.81	1187647200000				
open  /9223370859489175807	DCAI	12.29	1177365600000				
high  /9223370859489175807	DCAI	12.30	1177365600000				
low   /9223370859489175807	DCAI	12.05	1177365600000				
close /9223370859489175807	DCAI	12.07	1177365600000				
volume/9223370859489175807	DCAI	10300	1177365600000				
