DAIO/2004-04-30	2.84	3.00	2.55	2.56	17800	2.56	1083308400000
DBTK/2010-01-15	10.36	10.43	10.25	10.29	95500	10.29	1263542400000
DELL/2007-02-08	23.62	23.96	23.59	23.85	16038700	23.85	1170921600000
DSWL/2008-06-25	6.70	6.70	6.40	6.45	16100	5.67	1214377200000
DINE/2004-07-12	7.97	7.97	7.70	7.78	64300	19.99	1089615600000
DELL/1988-08-23	8.38	8.75	8.00	8.25	45465600	0.09	588322800000
DIGA/2006-09-08	1.70	1.73	1.66	1.70	14600	13.60	1157698800000
DINE/1997-02-05	5.22	5.34	5.22	5.22	7500	13.19	855129600000
DRAM/2003-03-04	2.49	2.49	2.45	2.45	1100	2.10	1046764800000
DGII/1997-02-07	8.62	8.62	8.38	8.62	35700	8.62	855302400000
DLLR/2007-04-04	25.95	25.97	25.53	25.83	233200	25.83	1175670000000
DRAM/2003-10-28	4.04	4.04	3.89	4.00	9400	3.43	1067328000000
DELL/2006-02-17	30.99	31.01	30.13	30.38	68759800	30.38	1140163200000
DYAX/2001-08-09	12.41	12.41	12.00	12.23	37200	12.23	997340400000
DMAN/2009-05-13	7.41	7.50	7.32	7.44	46400	7.44	1242198000000
DLTR/2007-09-24	41.77	42.10	41.02	41.20	1312400	41.20	1190617200000
DAVE/2006-10-09	14.48	14.65	14.46	14.50	40200	14.50	1160377200000
DEAR/2009-06-18	1.92	1.93	1.92	1.93	900	1.93	1245308400000
DEPO/1998-01-23	7.44	7.88	6.88	7.44	197500	7.44	885542400000
DMAN/2009-04-24	7.10	7.10	6.93	6.96	47400	6.96	1240556400000
DANKY/2001-09-28	0.59	0.60	0.55	0.55	146700	0.55	1001660400000
DSWL/1998-12-08	10.96	11.44	10.60	10.60	30600	2.49	913104000000
DNBK/2009-03-09	12.19	12.50	12.19	12.31	132300	12.26	1236582000000
DAIO/1998-09-01	2.56	2.75	2.50	2.50	81900	2.50	904633200000
DGAS/2009-07-08	23.00	23.70	23.00	23.70	1000	23.12	1247036400000
DBLE/2003-09-08	12.00	12.20	11.63	12.20	42100	12.20	1063004400000
DNDN/2005-10-25	6.32	6.80	6.30	6.78	1200000	6.78	1130223600000
DPTR/2008-06-19	27.45	27.75	26.70	26.92	897800	26.92	1213858800000
DGICB/1990-04-10	7.75	8.25	7.75	8.25	900	1.60	639730800000
DEAR/2004-03-25	23.00	23.00	22.75	22.75	200	17.83	1080201600000
DNBF/2006-11-03	21.00	21.00	21.00	21.00	100	17.22	1162540800000
DANKY/2002-03-07	2.25	2.42	2.24	2.42	417200	2.42	1015488000000
DYNT/2004-07-21	1.99	2.00	1.83	1.85	50300	1.85	1090393200000
DIOD/2004-04-13	23.09	23.70	22.77	23.20	252300	10.31	1081839600000
DLIA/2007-04-16	8.80	8.89	8.68	8.82	296500	8.82	1176706800000
DFZ/2006-08-24	6.25	6.25	6.25	6.25	1000	5.96	1156402800000
DXPE/2000-09-26	1.38	1.38	1.38	1.38	8000	0.69	969951600000
DANKY/1996-07-26	26.88	28.86	26.88	27.93	1943400	27.55	838364400000
DENN/2002-04-11	0.89	0.90	0.89	0.90	11200	0.90	1018508400000
DEIX/2007-06-18	8.99	9.03	8.97	9.00	98700	9.00	1182150000000
DGAS/2009-06-16	23.86	23.86	22.68	23.03	3300	22.47	1245135600000
DXYN/1996-04-15	4.31	4.43	4.31	4.37	12700	4.30	829551600000
DATA/2007-10-24	3.02	3.09	2.90	2.98	10000	2.98	1193209200000
DGICA/2004-06-23	21.70	21.80	20.97	21.08	26700	10.39	1087974000000
